datetime,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,passenger_count,trip_time_in_secs,trip_distance,longitude,latitude,is_pickup
2013-01-04 22:39:01,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,1350,9.6,-73.967628,40.769424,0
2013-01-04 22:41:58,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,392,0.9,-73.967438,40.769363,1
2013-01-04 22:48:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,392,0.9,-73.963463,40.758556,0
2013-01-04 22:50:55,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,602,1.8,-73.96288299999998,40.758263,1
2013-01-04 23:00:58,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,602,1.8,-73.981155,40.747082,0
2013-01-04 23:13:53,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,241,0.8,-73.96743000000002,40.75629,1
2013-01-04 23:17:54,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,241,0.8,-73.975555,40.74535,0
2013-01-04 23:19:41,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,596,1.7,-73.976013,40.744743,1
2013-01-04 23:29:38,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,596,1.7,-73.998535,40.738182,0
2013-01-04 23:53:00,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,464,1.3,-73.967712,40.755894,1
2013-01-05 00:00:44,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,464,1.3,-73.986572,40.753422,0
2013-01-05 00:13:11,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,214,0.7,-73.967049,40.757156,1
2013-01-05 00:16:46,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,214,0.7,-73.977432,40.752132,0
2013-01-05 00:24:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1325,5.6,-73.97829399999998,40.752342,1
2013-01-05 00:46:29,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1325,5.6,-73.99906899999998,40.693962,0
2013-01-05 01:10:07,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,966,8.7,-73.99816899999998,40.722893,1
2013-01-05 01:26:14,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,966,8.7,-73.905167,40.772289,0
2013-01-05 02:13:47,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,412,3.0,-73.982224,40.731632,1
2013-01-05 02:20:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,412,3.0,-73.953278,40.771629,0
2013-01-05 02:25:03,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,926,7.3,-73.95076,40.779404,1
2013-01-05 02:40:29,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,926,7.3,-74.005791,40.717468,0
2013-01-05 02:56:38,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,408,1.4,-73.996048,40.724018,1
2013-01-05 03:03:26,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,408,1.4,0.0,0.0,0
2013-01-05 03:08:44,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,559,3.0,-74.004959,40.720852,1
2013-01-05 03:18:04,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,559,3.0,-73.993675,40.75898400000001,0
2013-01-05 03:36:10,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,727,2.9,-74.005928,40.739914,1
2013-01-05 03:48:18,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,727,2.9,-73.974373,40.761551,0
2013-01-05 04:08:48,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,111,0.6,-73.967743,40.755756,1
2013-01-05 04:10:40,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,111,0.6,-73.9739,40.748043,0
2013-01-05 04:11:29,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,586,3.3,-73.974052,40.748386,1
2013-01-05 04:21:15,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,586,3.3,-73.97575400000002,40.781754,0
2013-01-05 19:11:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,914,9.1,-73.874634,40.774117,1
2013-01-05 19:26:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,914,9.1,-73.96131899999997,40.762672,0
2013-01-05 19:31:56,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,245,0.9,-73.966698,40.764114,1
2013-01-05 19:36:02,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,245,0.9,-73.956886,40.774879,0
2013-01-05 19:37:41,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,374,1.0,-73.95697,40.775959,1
2013-01-05 19:43:56,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,374,1.0,-73.971909,40.782249,0
2013-01-05 19:45:19,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,289,0.5,-73.974083,40.782951,1
2013-01-05 19:50:08,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,289,0.5,-73.976936,40.787762,0
2013-01-05 19:53:18,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,592,2.0,-73.978821,40.787369,1
2013-01-05 20:03:10,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,592,2.0,-73.97234300000002,40.765381,0
2013-01-05 20:05:01,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,532,0.9,-73.973427,40.763721,1
2013-01-05 20:13:53,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,532,0.9,-73.95837399999998,40.760571,0
